episode,step,train_score,eval_score,best_score,epsilon,loss,q_avg_0,q_min_0,q_max_0,q_avg_1,q_min_1,q_max_1
162,2410,-5.0,-5.0,-4.0,             0.10864,0.06810399889945984,0.95,0.732,1.236,1.023,0.905,1.305
163,2425,-5.0,-5.0,-4.0,             0.10715,0.054287717863917354,0.731,-0.302,1.103,0.741,-0.09,1.115
164,2435,-5.0,-5.0,-4.0,             0.10617,0.04561558626592159,1.264,0.835,1.409,1.325,0.887,1.453
165,2450,-5.0,-5.0,-4.0,             0.10471,0.053183507670958835,0.613,-1.142,0.963,0.61,-0.924,1.057
166,2458,-5.0,-5.0,-4.0,             0.10394,0.05834523728117347,1.181,0.932,1.573,1.329,1.186,1.708
167,2482,-4.0,-5.0,-4.0,             0.10167,0.05306394429256519,0.629,-0.626,1.045,0.565,-0.588,1.035
168,2497,-5.0,-5.0,-4.0,             0.10028,0.05294323439399402,0.823,0.017,1.133,0.841,-0.265,1.25
169,2512,-5.0,-5.0,-4.0,             0.09890,0.0547124528636535,1.099,-0.2,1.532,1.095,-0.286,1.554
170,2529,-4.0,-5.0,-4.0,             0.09736,0.04709546037894838,0.929,-0.045,1.395,0.969,-0.384,1.857
171,2544,-5.0,-5.0,-4.0,             0.09603,0.05457835681736469,0.812,-0.922,1.39,0.82,-1.096,1.463
172,2559,-5.0,-5.0,-4.0,             0.09471,0.04506534449756146,1.059,-0.149,1.517,1.023,-0.253,1.492
173,2574,-5.0,-5.0,-4.0,             0.09341,0.03675173160930475,0.742,-0.709,1.202,0.659,-0.929,1.202
174,2587,-5.0,-5.0,-4.0,             0.09230,0.058302801102399826,0.878,0.509,1.276,0.886,0.605,1.25
175,2602,-5.0,-5.0,-4.0,             0.09103,0.05881037066380183,0.696,-0.418,1.125,0.688,-0.415,1.054
176,2617,-5.0,-5.0,-4.0,             0.08978,0.05068202217419942,1.249,-0.736,1.745,1.253,-0.765,1.812
177,2634,-4.0,-5.0,-4.0,             0.08839,0.05263236997758641,0.809,-0.794,1.28,0.799,-0.941,1.969
178,2649,-5.0,-5.0,-4.0,             0.08718,0.047293567284941676,0.436,-0.785,0.788,0.358,-0.783,0.66
179,2664,-5.0,-5.0,-4.0,             0.08598,0.07454333404699962,0.613,-0.159,1.059,0.641,-0.177,1.128
180,2679,-5.0,-5.0,-4.0,             0.08480,0.06521273963153362,0.986,-0.793,1.452,1.001,-0.838,1.555
181,2694,-5.0,-5.0,-4.0,             0.08364,0.04711290088792642,0.744,-0.992,1.26,0.744,-1.055,1.362
182,2709,-5.0,-5.0,-4.0,             0.08249,0.061367790773510934,0.595,-0.507,0.918,0.531,-0.565,0.845
183,2733,-4.0,-5.0,-4.0,             0.08069,0.05112494559337696,0.844,-1.056,1.565,0.847,-1.14,1.896
184,2740,-5.0,-5.0,-4.0,             0.08017,0.0375483754490103,1.384,1.291,1.518,1.498,1.433,1.628
185,2755,-5.0,-5.0,-4.0,             0.07907,0.043970167512694995,0.666,-0.522,0.896,0.627,-0.624,0.869
186,2779,-4.0,-4.0,-4.0,             0.07734,0.04709177929908037,0.942,-0.526,1.669,0.923,-0.858,2.364
187,2794,-5.0,-4.0,-4.0,             0.07628,0.0530909380565087,0.59,-0.791,1.134,0.554,-0.889,1.08
188,2809,-5.0,-4.0,-4.0,             0.07523,0.03337618100146453,0.682,-0.725,1.306,0.711,-0.611,1.369
